node_id,h0_1,h0_2,h0_3,h0_4,h0_5,h0_6,h0_7,h0_8,h0_9,h0_10,h0_11,h0_12,h0_13,h0_14,h0_15,h0_16,h0_17,h0_18,h0_19,h0_20,h0_21,h0_22,h0_23,h0_24
node_2746,127.5509,127.913994,128.03639,127.6295,125.011505,123.4889,123.747894,124.2888,123.4485,124.5801,124.7981,125.1586,124.878204,124.8435,124.0653,122.9506,121.0285,121.2342,121.961,123.270195,124.4999,126.6924,127.648,127.755104
node_2747,129.7446,129.9818,129.2404,127.9446,126.1624,125.3218,124.5168,124.783,124.718704,125.747406,124.5365,125.742,125.2334,125.4463,125.465805,124.43561,123.5848,125.8872,126.285904,126.7084,127.5703,130.4044,131.4973,131.5377
